LA_name,LA_pr,mamam
Shropshire,https://newsroom.shropshire.gov.uk/,golekono dewe
Telford and Wrekin,http://newsroom.telford.gov.uk/,page
Somerset,https://somersetnewsroom.com/,page
Bath and North East Somerset,https://newsroom.bathnes.gov.uk/,golekono dewe
Mendip,https://www.mendip.gov.uk/news,page
North Somerset,https://www.n-somerset.gov.uk/my-council/news-media/news/,golekono dewe
Sedgemoor,https://www.sedgemoor.gov.uk/article/717/Latest-News-Announcements,rss
Somerset West and Taunton,https://www.somersetwestandtaunton.gov.uk/news/,page
South Somerset,https://www.southsomerset.gov.uk/news,golekono dewe
Barnsley,https://www.barnsley.gov.uk/search?search=news,golekono dewe
Doncaster,https://www.doncaster.gov.uk/news,rss
Rotherham,https://www.rotherham.gov.uk/news,page
Sheffield,https://sheffieldnewsroom.co.uk/,golekono dewe
Cannock Chase,https://www.cannockchasedc.gov.uk/council/latest-news,page
East Staffordshire,http://www.eaststaffsbc.gov.uk/es-news,golekono dewe
Lichfield,https://www.lichfielddc.gov.uk/news,page
Newcastle-under-Lyme,https://www.newcastle-staffs.gov.uk/news,golekono dewe
South Staffordshire,https://www.sstaffs.gov.uk/news/,golekono dewe
Stafford,https://www.staffordbc.gov.uk/news-articles,rss
Staffordshire Moorlands,https://www.staffsmoorlands.gov.uk/article/416/News--Events,golekono dewe
Stoke-on-Trent,https://www.stoke.gov.uk/news,rss
Tamworth,https://www.tamworth.gov.uk/news,rss
Suffolk,https://www.suffolk.gov.uk/council-and-democracy/council-news/,golekono dewe
Babergh,https://www.babergh.gov.uk/news/,rss
East Suffolk,https://www.eastsuffolk.gov.uk/news/,golekono dewe
Ipswich,https://www.ipswich.gov.uk/content/local-business-news,golekono dewe
West Suffolk,https://www.westsuffolk.gov.uk/news/,golekono dewe
Surrey,https://news.surreycc.gov.uk/,rss
Elmbridge,https://www.elmbridge.gov.uk/news/,page
Epsom and Ewell,https://www.epsom-ewell.gov.uk/news,golekono dewe
Guildford,https://www.guildford.gov.uk/newsandevents,golekono dewe
Mole Valley,https://news.molevalley.gov.uk/,page
Reigate and Banstead,http://www.reigate-banstead.gov.uk/news,rss
Runnymede,https://www.runnymede.gov.uk/article/15611/News,golekono dewe
Spelthorne,https://www.spelthorne.gov.uk/article/16409/News,rss
Surrey Heath,https://www.surreyheath.gov.uk/council/news,rss
Tandridge,https://www.tandridge.gov.uk/Your-council/News-and-consultation/News,rss
Woking,https://www.woking.gov.uk/news-list,golekono dewe
Gateshead,https://www.gateshead.gov.uk/article/1759/News,golekono dewe
Newcastle upon Tyne,https://www.newcastle.gov.uk/citylife-news,golekono dewe
North Tyneside,https://my.northtyneside.gov.uk/category/415/latest-news-and-events,golekono dewe
South Tyneside,https://www.southtyneside.gov.uk/article/55009/News,page
Wales,https://gov.wales/announcements,rss
Blaenau Gwent,https://www.blaenau-gwent.gov.uk/en/story/news/work-begins-on-flagship-recycling-centre/,golekono dewe
Bridgend,https://www.bridgend.gov.uk/news/,golekono dewe
Caerphilly,https://www.caerphilly.gov.uk/News.aspx,golekono dewe
Cardiff,https://www.cardiff.gov.uk/ENG/Your-Council/News/Pages/default.aspx,golekono dewe
Carmarthenshire,http://newsroom.carmarthenshire.gov.wales/,golekono dewe
Ceredigion,https://www.ceredigion.gov.uk/resident/news/,golekono dewe
Conwy,https://www.conwy.gov.uk/en/Spotlight/Press-Releases/Press-Releases.aspx,page
Denbighshire,https://www.denbighshire.gov.uk/en/resident/news/news.aspx,golekono dewe
Flintshire,https://www.flintshire.gov.uk/en/Resident/Council-Apps/News-Archive.aspx,golekono dewe
Isle of Anglesey,https://www.anglesey.gov.uk/en/Newsroom/Newsroom.aspx#/,golekono dewe
Merthyr Tydfil,https://www.merthyr.gov.uk/news-and-events/latest-news/,page
Monmouthshire,https://www.monmouthshire.gov.uk/latest-news/,golekono dewe
Neath Port Talbot,https://www.npt.gov.uk/15639,golekono dewe
Newport,http://www.newport.gov.uk/en/Council-Democracy/News/News-home.aspx,golekono dewe
Powys,https://en.powys.gov.uk/news,page
Rhondda Cynon Taf,https://www.rctcbc.gov.uk/EN/Newsroom/Newsroom.aspx,golekono dewe
Swansea,https://www.swansea.gov.uk/news,golekono dewe
Vale of Glamorgan,https://www.valeofglamorgan.gov.uk/en/our_council/press_and_communications/latest_news/Latest-News.aspx,golekono dewe
Wrexham,https://news.wrexham.gov.uk/,page
Warwickshire,https://news.warwickshire.gov.uk/,rss
North Warwickshire,https://www.northwarks.gov.uk/news,golekono dewe
Nuneaton and Bedworth,https://www.nuneatonandbedworth.gov.uk/news,golekono dewe
Rugby,https://www.rugby.gov.uk/news,rss
Stratford-on-Avon,https://www.stratford.gov.uk/#news,golekono dewe
Warwick,https://www.warwickdc.gov.uk/news,rss
West Midlands,https://www.wmca.org.uk/news,golekono dewe
Birmingham,https://www.birmingham.gov.uk/news,rss
Coventry,https://www.coventry.gov.uk/news/,rss
Dudley,https://www.dudley.gov.uk/news/,golekono dewe
Sandwell,http://www.sandwell.gov.uk/news,rss
Wolverhampton,https://www.wolverhampton.gov.uk/news,page
West Sussex,https://www.westsussex.gov.uk/news,golekono dewe
Adur,https://www.adur-worthing.gov.uk/news/,rss
Arun,https://www.arun.gov.uk/news-archive/,golekono dewe
Crawley,http://www.crawley.gov.uk/pw/News_and_Events/Press_Releases/index.htm,golekono dewe
Horsham,https://www.horsham.gov.uk/news,page
Mid Sussex,https://www.midsussex.gov.uk/about-us/press-releases-and-publications/,golekono dewe
Worthing,https://www.adur-worthing.gov.uk/news/,rss
West Yorkshire,https://www.westyorks-ca.gov.uk/news/,golekono dewe
Bradford,https://www.bradford.gov.uk/browse-all-news/press-releases/current-news-releases/,golekono dewe
Calderdale,https://news.calderdale.gov.uk/author/calderdale-council/,rss
Kirklees,https://kirkleestogether.co.uk/category/other-news/,page
Leeds,https://news.leeds.gov.uk/,golekono dewe
Wakefield,https://www.wakefield.gov.uk/about-the-council/newsroom,golekono dewe
Swindon,https://www.swindon.gov.uk/news,rss
Wiltshire,http://www.wiltshire.gov.uk/news,golekono dewe
Worcestershire,http://www.worcestershire.gov.uk/news_social_media,rss
Malvern Hills,https://www.malvernhills.gov.uk/news-alerts,golekono dewe
Worcester,https://www.worcester.gov.uk/news,golekono dewe
Wychavon,https://www.wychavon.gov.uk/news-and-alerts,golekono dewe
